id,team_name
1,New Jersey DEVILS
2,NY Islanders ISLANDERS
3,NY Rangers RANGERS
4,Philadelphia FLYERS
5,Pittsburgh PENGUINS
6,Boston BRUINS
7,Buffalo SABRES
8,Montreal CANADIENS
9,Ottawa SENATORS
10,Toronto MAPLE LEAFS
11,Winnipeg JETS
12,Carolina HURRICANES
13,Florida PANTHERS
14,Tampa Bay LIGHTNING
15,Washington CAPITALS
16,Chicago BLACKHAWKS
17,Detroit RED WINGS
18,Nashville PREDATORS
19,St Louis BLUES
20,Calgary FLAMES
21,Colorado AVALANCHE
22,Edmonton OILERS
23,Vancouver CANUCKS
24,Anaheim DUCKS
25,Dallas STARS
26,Los Angeles KINGS
27,Phoenix COYOTES
28,San Jose SHARKS
29,Columbus BLUE JACKETS
30,Minnesota WILD
